2;B. Karlsson
5;M. Kløfta
7;D. Losnedal
10;F. Nyberg
12;J. Pedersen
17;R. Gaussen
18;L. Fransson
20;P. Larsson
22;A. Rasmussen
23;N. Barackov
24;H. Kvernberg
29;G. Runbjer
37;J. Larsen
41;A. Oja
44;A. Egidius
